,ID,Title,Acceptance,Difficulty,Frequency,Link
0,1239,Maximum Length of a Concatenated String with Unique Characters,47.8%,Medium,1.08746055306763, https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters
1,273,Integer to English Words,27.1%,Hard,1.0184313643647775, https://leetcode.com/problems/integer-to-english-words
2,146,LRU Cache,33.2%,Medium,0.9494021756619252, https://leetcode.com/problems/lru-cache
3,348,Design Tic-Tac-Toe,54.3%,Medium,0.8803729869590728, https://leetcode.com/problems/design-tic-tac-toe
4,138,Copy List with Random Pointer,36.4%,Medium,0.8113437982562205, https://leetcode.com/problems/copy-list-with-random-pointer
5,54,Spiral Matrix,34.1%,Medium,0.7684855384560624, https://leetcode.com/problems/spiral-matrix
6,428,Serialize and Deserialize N-ary Tree,59.4%,Hard,0.69945634975321, https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree
7,1246,Palindrome Removal,46.0%,Hard,0.6794349186959634, https://leetcode.com/problems/palindrome-removal
8,200,Number of Islands,46.8%,Medium,0.6346004158660578, https://leetcode.com/problems/number-of-islands
9,794,Valid Tic-Tac-Toe State,32.6%,Medium,0.6257058997644127, https://leetcode.com/problems/valid-tic-tac-toe-state
10,42,Trapping Rain Water,48.9%,Hard,0.6176631383787123, https://leetcode.com/problems/trapping-rain-water
11,1,Two Sum,45.6%,Easy,0.5816196797969626, https://leetcode.com/problems/two-sum
12,218,The Skyline Problem,34.6%,Hard,0.5769757487979034, https://leetcode.com/problems/the-skyline-problem
13,134,Gas Station,38.5%,Medium,0.5687668431527801, https://leetcode.com/problems/gas-station
14,25,Reverse Nodes in k-Group,42.1%,Hard,0.5548019913650492, https://leetcode.com/problems/reverse-nodes-in-k-group
15,5,Longest Palindromic Substring,29.5%,Medium,0.5535093105833294, https://leetcode.com/problems/longest-palindromic-substring
16,212,Word Search II,34.9%,Hard,0.5393056293017195, https://leetcode.com/problems/word-search-ii
17,1156,Swap For Longest Repeated Character Substring,49.0%,Medium,0.538996500732687, https://leetcode.com/problems/swap-for-longest-repeated-character-substring
18,340,Longest Substring with At Most K Distinct Characters,44.1%,Hard,0.5227814976619829, https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters
19,545,Boundary of Binary Tree,38.9%,Medium,0.5184398737512361, https://leetcode.com/problems/boundary-of-binary-tree
20,23,Merge k Sorted Lists,40.2%,Hard,0.4912296126955214, https://leetcode.com/problems/merge-k-sorted-lists
21,510,Inorder Successor in BST II,58.0%,Medium,0.4733273972248297, https://leetcode.com/problems/inorder-successor-in-bst-ii
22,93,Restore IP Addresses,35.6%,Medium,0.4723710840927024, https://leetcode.com/problems/restore-ip-addresses
23,443,String Compression,41.3%,Easy,0.4648256809530135, https://leetcode.com/problems/string-compression
24,99,Recover Binary Search Tree,39.7%,Hard,0.4602395756064721, https://leetcode.com/problems/recover-binary-search-tree
25,468,Validate IP Address,24.1%,Medium,0.4455851018975896, https://leetcode.com/problems/validate-ip-address
26,98,Validate Binary Search Tree,27.8%,Medium,0.4300234886494738, https://leetcode.com/problems/validate-binary-search-tree
27,445,Add Two Numbers II,54.5%,Medium,0.4214654494546055, https://leetcode.com/problems/add-two-numbers-ii
28,297,Serialize and Deserialize Binary Tree,47.5%,Hard,0.414186436221979, https://leetcode.com/problems/serialize-and-deserialize-binary-tree
29,557,Reverse Words in a String III,69.8%,Easy,0.4039661167637743, https://leetcode.com/problems/reverse-words-in-a-string-iii
30,679,24 Game,46.4%,Hard,0.4013413909243023, https://leetcode.com/problems/24-game
31,240,Search a 2D Matrix II,43.2%,Medium,0.3968649595445255, https://leetcode.com/problems/search-a-2d-matrix-ii
32,232,Implement Queue using Stacks,49.6%,Easy,0.3904672000243819, https://leetcode.com/problems/implement-queue-using-stacks
33,253,Meeting Rooms II,45.7%,Medium,0.3758968418861914, https://leetcode.com/problems/meeting-rooms-ii
34,470,Implement Rand10() Using Rand7(),46.3%,Medium,0.3746934494414107, https://leetcode.com/problems/implement-rand10-using-rand7
35,22,Generate Parentheses,62.7%,Medium,0.362601403676382, https://leetcode.com/problems/generate-parentheses
36,127,Word Ladder,29.6%,Medium,0.3599678671357775, https://leetcode.com/problems/word-ladder
37,179,Largest Number,28.8%,Medium,0.3523023965261231, https://leetcode.com/problems/largest-number
38,1185,Day of the Week,64.0%,Easy,0.3489888690678475, https://leetcode.com/problems/day-of-the-week
39,116,Populating Next Right Pointers in Each Node,45.2%,Medium,0.346572539667318, https://leetcode.com/problems/populating-next-right-pointers-in-each-node
40,1044,Longest Duplicate Substring,31.9%,Hard,0.3378493311698002, https://leetcode.com/problems/longest-duplicate-substring
41,1236,Web Crawler,64.3%,Medium,0.3364722366212129, https://leetcode.com/problems/web-crawler
42,431,Encode N-ary Tree to Binary Tree,70.8%,Hard,0.3308542443169896, https://leetcode.com/problems/encode-n-ary-tree-to-binary-tree
43,535,Encode and Decode TinyURL,79.9%,Medium,0.3263151779245136, https://leetcode.com/problems/encode-and-decode-tinyurl
44,236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.3240760853577754, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
45,450,Delete Node in a BST,43.1%,Medium,0.3212561617242367, https://leetcode.com/problems/delete-node-in-a-bst
46,53,Maximum Subarray,46.5%,Easy,0.3123508739120354, https://leetcode.com/problems/maximum-subarray
47,206,Reverse Linked List,62.5%,Easy,0.3119103412765537, https://leetcode.com/problems/reverse-linked-list
48,105,Construct Binary Tree from Preorder and Inorder Traversal,48.8%,Medium,0.3083848663602975, https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
49,33,Search in Rotated Sorted Array,34.5%,Medium,0.3050410442923499, https://leetcode.com/problems/search-in-rotated-sorted-array
50,21,Merge Two Sorted Lists,53.5%,Easy,0.3021532535497142, https://leetcode.com/problems/merge-two-sorted-lists
51,828,Count Unique Characters of All Substrings of a Given String,45.2%,Hard,0.2972515234679316, https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string
52,44,Wildcard Matching,24.7%,Hard,0.2963542600609418, https://leetcode.com/problems/wildcard-matching
53,155,Min Stack,44.5%,Easy,0.295594279795452, https://leetcode.com/problems/min-stack
54,8,String to Integer (atoi),15.4%,Medium,0.2948520886157078, https://leetcode.com/problems/string-to-integer-atoi
55,74,Search a 2D Matrix,36.5%,Medium,0.2910784568140548, https://leetcode.com/problems/search-a-2d-matrix
56,767,Reorganize String,48.7%,Medium,0.288685584829021, https://leetcode.com/problems/reorganize-string
57,186,Reverse Words in a String II,43.3%,Medium,0.2811673914305872, https://leetcode.com/problems/reverse-words-in-a-string-ii
58,17,Letter Combinations of a Phone Number,46.8%,Medium,0.2766754322735238, https://leetcode.com/problems/letter-combinations-of-a-phone-number
